window,n_days,CAGR,ann_vol,Sharpe,Sortino,max_dd,dd_days,monthly_hit_rate,ann_turnover,cost_drag_ann,beta_vs_SPY,alpha_vs_SPY_ann
in_sample (-> 2018-12-31),2012,0.0168,0.1187,0.2,0.279,-0.2998,1689,0.521,18.91,0.0189,0.016,0.0218
out_of_sample (2019-),1861,-0.1209,0.1738,-0.654,-0.885,-0.6869,1852,0.438,29.93,0.0299,0.047,-0.123
full window,3873,-0.0519,0.1478,-0.286,-0.392,-0.756,3550,0.481,24.2,0.0242,0.035,-0.0477
full @ 0 bps,3873,-0.0286,0.1478,-0.122,-0.169,-0.692,1981,0.514,24.2,0.0,0.036,-0.0235
full @ 5 bps,3873,-0.0403,0.1478,-0.204,-0.281,-0.7225,1981,0.497,24.2,0.0121,0.036,-0.0356
full @ 10 bps,3873,-0.0519,0.1478,-0.286,-0.392,-0.756,3550,0.481,24.2,0.0242,0.035,-0.0477
full @ 25 bps,3873,-0.0857,0.1479,-0.531,-0.719,-0.8566,3550,0.454,24.2,0.0605,0.035,-0.0839
