strategy,window,n_days,CAGR,ann_vol,Sharpe,Sortino,max_dd,monthly_hit,ann_turnover,cost_drag_ann,beta_SPY,alpha_SPY_ann
optimizer_locked,in_sample,1887,0.0463,0.1125,0.459,0.696,-0.1855,0.544,97.18,0.0972,-0.001,0.0518
optimizer_locked,out_of_sample,1861,-0.0238,0.1476,-0.09,-0.133,-0.4069,0.427,76.25,0.0763,0.01,-0.0162
optimizer_locked,full,3748,0.0109,0.1311,0.148,0.221,-0.4069,0.486,86.79,0.0868,0.006,0.0181
baseline_eq_carry+cot,in_sample,1887,0.0816,0.0908,0.909,1.38,-0.1164,0.578,76.04,0.076,0.031,0.079
baseline_eq_carry+cot,out_of_sample,1861,0.1361,0.1235,1.095,1.685,-0.1184,0.629,67.3,0.0673,0.027,0.1323
baseline_eq_carry+cot,full,3748,0.1084,0.1083,1.004,1.537,-0.1184,0.603,71.7,0.0717,0.029,0.1054
